0,1,2,3,4
<,名詞,サ変接続,*,*
https,名詞,一般,*,*
://,名詞,サ変接続,*,*
ja,名詞,一般,*,*
.,名詞,サ変接続,*,*
wikipedia,名詞,一般,*,*
.,名詞,サ変接続,*,*
org,名詞,一般,*,*
/,名詞,サ変接続,*,*
wiki,名詞,一般,*,*
/,名詞,サ変接続,*,*
FAQ,名詞,一般,*,*
>,名詞,サ変接続,*,*
FAQ,名詞,固有名詞,組織,*
と,助詞,格助詞,一般,と
は,助詞,係助詞,*,は
、,記号,読点,*,、
よく,副詞,一般,*,よく
ある,動詞,自立,*,ある
(,名詞,サ変接続,*,*
あるいは,接続詞,*,*,あるいは
ある,動詞,自立,*,ある
と,助詞,格助詞,引用,と
想定,名詞,サ変接続,*,想定
さ,動詞,自立,*,する
れる,動詞,接尾,*,れる
),名詞,サ変接続,*,*
質問,名詞,サ変接続,*,質問
と,助詞,格助詞,一般,と
その,連体詞,*,*,その
回答,名詞,サ変接続,*,回答
と,助詞,並立助詞,*,と
を,助詞,格助詞,一般,を
集め,動詞,自立,*,集める
た,助動詞,*,*,た
もの,名詞,非自立,一般,もの
の,助詞,連体化,*,の
こと,名詞,非自立,一般,こと
で,助動詞,*,*,だ
ある,助動詞,*,*,ある
。,記号,句点,*,。
FAQ,名詞,一般,*,*
の,助詞,連体化,*,の
語,名詞,一般,*,語
は,助詞,係助詞,*,は
英語,名詞,一般,*,英語
の,助詞,連体化,*,の
Frequently,名詞,一般,*,*
Asked,名詞,一般,*,*
Questions,名詞,一般,*,*
の,助詞,連体化,*,の
略語,名詞,一般,*,略語
で,助詞,格助詞,一般,で
、,記号,読点,*,、
「,記号,括弧開,*,「
頻繁,名詞,形容動詞語幹,*,頻繁
に,助詞,副詞化,*,に
尋ね,動詞,自立,*,尋ねる
られる,動詞,接尾,*,られる
質問,名詞,サ変接続,*,質問
」,記号,括弧閉,*,」
の,助詞,連体化,*,の
意味,名詞,サ変接続,*,意味
で,助動詞,*,*,だ
ある,助動詞,*,*,ある
。,記号,句点,*,。
日本語,名詞,一般,*,日本語
で,助詞,格助詞,一般,で
は,助詞,係助詞,*,は
「,記号,括弧開,*,「
よく,副詞,一般,*,よく
ある,動詞,自立,*,ある
質問,名詞,サ変接続,*,質問
」,記号,括弧閉,*,」
と,助詞,格助詞,引用,と
なっ,動詞,自立,*,なる
て,助詞,接続助詞,*,て
いる,動詞,非自立,*,いる
こと,名詞,非自立,一般,こと
が,助詞,格助詞,一般,が
多い,形容詞,自立,*,多い
。,記号,句点,*,。
「,記号,括弧開,*,「
エフ・エイ・キュー,名詞,固有名詞,一般,*
」,記号,括弧閉,*,」
、,記号,読点,*,、
「,記号,括弧開,*,「
フェイク,名詞,固有名詞,一般,*
」,記号,括弧閉,*,」
、,記号,読点,*,、
「,記号,括弧開,*,「
ファック,名詞,固有名詞,一般,*
」,記号,括弧閉,*,」
(/,名詞,サ変接続,*,*
fæk,名詞,一般,*,*
/),名詞,サ変接続,*,*
と,助詞,格助詞,一般,と
読む,動詞,自立,*,読む
。,記号,句点,*,。
主,名詞,形容動詞語幹,*,主
に,助詞,副詞化,*,に
、,記号,読点,*,、
コンピュータ,名詞,一般,*,コンピュータ
（,記号,括弧開,*,（
ハードウェア,名詞,一般,*,ハードウェア
、,記号,読点,*,、
ソフトウェア,名詞,一般,*,ソフトウェア
、,記号,読点,*,、
オペレーティングシステム,名詞,一般,*,オペレーティングシステム
など,助詞,副助詞,*,など
の,助詞,連体化,*,の
使い方,名詞,一般,*,使い方
や,助詞,並立助詞,*,や
メッセージ,名詞,一般,*,メッセージ
の,助詞,連体化,*,の
意味,名詞,サ変接続,*,意味
、,記号,読点,*,、
原因,名詞,一般,*,原因
など,助詞,副助詞,*,など
）,記号,括弧閉,*,）
や,助詞,並立助詞,*,や
通信,名詞,サ変接続,*,通信
関係,名詞,サ変接続,*,関係
、,記号,読点,*,、
周辺,名詞,一般,*,周辺
機器,名詞,一般,*,機器
の,助詞,連体化,*,の
使用,名詞,サ変接続,*,使用
方法,名詞,一般,*,方法
、,記号,読点,*,、
セットアップ,名詞,一般,*,セットアップ
方法,名詞,一般,*,方法
など,助詞,副助詞,*,など
の,助詞,連体化,*,の
分野,名詞,一般,*,分野
で,助詞,格助詞,一般,で
多用,名詞,サ変接続,*,多用
さ,動詞,自立,*,する
れる,動詞,接尾,*,れる
。,記号,句点,*,。
それ,名詞,代名詞,一般,それ
以外,名詞,非自立,副詞可能,以外
の,助詞,連体化,*,の
分野,名詞,一般,*,分野
で,助詞,格助詞,一般,で
は,助詞,係助詞,*,は
、,記号,読点,*,、
同様,名詞,形容動詞語幹,*,同様
の,助詞,連体化,*,の
問答,名詞,サ変接続,*,問答
集,名詞,接尾,一般,集
を,助詞,格助詞,一般,を
Q,名詞,固有名詞,組織,*
&,名詞,サ変接続,*,*
A,名詞,一般,*,*
（,記号,括弧開,*,（
質問,名詞,サ変接続,*,質問
と,助詞,並立助詞,*,と
答え,名詞,一般,*,答え
）,記号,括弧閉,*,）
と,助詞,格助詞,引用,と
呼ぶ,動詞,自立,*,呼ぶ
こと,名詞,非自立,一般,こと
が,助詞,格助詞,一般,が
多い,形容詞,自立,*,多い
。,記号,句点,*,。
