0,1,2,3,4
<,名詞,サ変接続,*,*
https,名詞,一般,*,*
://,名詞,サ変接続,*,*
ja,名詞,一般,*,*
.,名詞,サ変接続,*,*
wikipedia,名詞,一般,*,*
org,名詞,一般,*,*
/,名詞,サ変接続,*,*
wiki,名詞,一般,*,*
FAQ,名詞,一般,*,*
>,名詞,サ変接続,*,*
と,助詞,格助詞,一般,と
は,助詞,係助詞,*,は
、,記号,読点,*,、
よく,副詞,一般,*,よく
ある,動詞,自立,*,ある
(,名詞,サ変接続,*,*
あるいは,接続詞,*,*,あるいは
想定,名詞,サ変接続,*,想定
さ,動詞,自立,*,する
れる,動詞,接尾,*,れる
),名詞,サ変接続,*,*
質問,名詞,サ変接続,*,質問
その,連体詞,*,*,その
回答,名詞,サ変接続,*,回答
を,助詞,格助詞,一般,を
集め,動詞,自立,*,集める
た,助動詞,*,*,た
もの,名詞,非自立,一般,もの
の,助詞,連体化,*,の
こと,名詞,非自立,一般,こと
で,助動詞,*,*,だ
。,記号,句点,*,。
語,名詞,一般,*,語
英語,名詞,一般,*,英語
Frequently,名詞,一般,*,*
Asked,名詞,一般,*,*
Questions,名詞,一般,*,*
略語,名詞,一般,*,略語
で,助詞,格助詞,一般,で
「,記号,括弧開,*,「
頻繁,名詞,形容動詞語幹,*,頻繁
に,助詞,副詞化,*,に
尋ね,動詞,自立,*,尋ねる
られる,動詞,接尾,*,られる
」,記号,括弧閉,*,」
意味,名詞,サ変接続,*,意味
日本語,名詞,一般,*,日本語
なっ,動詞,自立,*,なる
て,助詞,接続助詞,*,て
いる,動詞,非自立,*,いる
が,助詞,格助詞,一般,が
多い,形容詞,自立,*,多い
エフ・エイ・キュー,名詞,固有名詞,一般,*
フェイク,名詞,固有名詞,一般,*
ファック,名詞,固有名詞,一般,*
(/,名詞,サ変接続,*,*
fæk,名詞,一般,*,*
/),名詞,サ変接続,*,*
読む,動詞,自立,*,読む
主,名詞,形容動詞語幹,*,主
コンピュータ,名詞,一般,*,コンピュータ
（,記号,括弧開,*,（
ハードウェア,名詞,一般,*,ハードウェア
ソフトウェア,名詞,一般,*,ソフトウェア
オペレーティングシステム,名詞,一般,*,オペレーティングシステム
など,助詞,副助詞,*,など
使い方,名詞,一般,*,使い方
や,助詞,並立助詞,*,や
メッセージ,名詞,一般,*,メッセージ
原因,名詞,一般,*,原因
）,記号,括弧閉,*,）
通信,名詞,サ変接続,*,通信
関係,名詞,サ変接続,*,関係
周辺,名詞,一般,*,周辺
機器,名詞,一般,*,機器
使用,名詞,サ変接続,*,使用
方法,名詞,一般,*,方法
セットアップ,名詞,一般,*,セットアップ
分野,名詞,一般,*,分野
多用,名詞,サ変接続,*,多用
それ,名詞,代名詞,一般,それ
以外,名詞,非自立,副詞可能,以外
同様,名詞,形容動詞語幹,*,同様
問答,名詞,サ変接続,*,問答
集,名詞,接尾,一般,集
Q,名詞,固有名詞,組織,*
&,名詞,サ変接続,*,*
A,名詞,一般,*,*
答え,名詞,一般,*,答え
呼ぶ,動詞,自立,*,呼ぶ
